일자,총유입수량,전력량
2022-07-03,10007,25017.5
2022-07-04,9235,23087.5
2022-07-05,8802,22005
2022-07-06,8590,21475
2022-07-07,8239,20597.5
2022-07-08,8396,20990
2022-07-09,8436,21090
2022-07-10,10121,25302.5
2022-07-11,11110,27775
2022-07-12,8859,22147.5
2022-07-13,7969,19922.5
2022-07-14,8746,21865
2022-07-15,10048,25120
2022-07-16,12557,31392.5
2022-07-17,9547,23867.5
2022-07-18,9714,24285
2022-07-19,10601,26502.5
2022-07-20,9316,23290
2022-07-21,8179,20447.5
2022-07-22,8179,20447.5
2022-07-23,8789,21972.5
2022-07-24,7497,18742.5
2022-07-25,7497,18742.5
2022-07-26,9736,24340
2022-07-27,9870,24675
2022-07-28,9411,23527.5
2022-07-29,7472,18680
2022-07-30,7607,19017.5
2022-07-31,7826,19565
2022-08-01,8259,20647.5
2022-08-02,8437,21092.5
2022-08-03,8412,21030
2022-08-04,7723,19307.5
2022-08-05,7346,18365
2022-08-06,7521,18802.5
2022-08-07,7379,18447.5
2022-08-08,6589,16472.5
2022-08-09,9990,24975
2022-08-10,9151,22877.5
2022-08-11,8421,21052.5
2022-08-12,9696,24240
2022-08-13,8933,22332.5
2022-08-14,8459,21147.5
2022-08-15,9642,24105
2022-08-16,9304,23260
2022-08-17,8916,22290
2022-08-18,8181,20452.5
2022-08-19,9319,23297.5
2022-08-20,9508,23770
2022-08-21,9082,22705
2022-08-22,8743,21857.5
2022-08-23,7768,19420
2022-08-24,7357,18392.5
2022-08-25,7398,18495
2022-08-26,7171,17927.5
2022-08-27,7289,18222.5
2022-08-28,7085,17712.5
2022-08-29,7016,17540
2022-08-30,9432,23580
2022-08-31,7660,19150
2022-09-01,7369,18422.5
2022-09-02,7279,18197.5
2022-09-03,7305,18262.5
2022-09-04,10101,25252.5
2022-09-05,9492,23730
2022-09-06,9367,23417.5
2022-09-07,9109,22772.5
2022-09-08,9185,22962.5
2022-09-09,8867,22167.5
2022-09-10,7984,19960
2022-09-11,7582,18955
2022-09-12,7925,19812.5
2022-09-13,7191,17977.5
2022-09-14,7315,18287.5
2022-09-15,7406,18515
2022-09-16,7391,18477.5
2022-09-17,7408,18520
2022-09-18,7504,18760
2022-09-19,6807,17017.5
2022-09-20,6957,17392.5
2022-09-21,7142,17855
2022-09-22,6897,17242.5
2022-09-23,7044,17610
2022-09-24,7044,17610
2022-09-25,7161,17902.5
2022-09-26,6943,17357.5
2022-09-27,6800,17000
2022-09-28,6765,16912.5
2022-09-29,6899,17247.5
2022-09-30,6758,16895
2022-10-01,6791,16977.5
2022-10-02,9103,22757.5
2022-10-03,8399,20997.5
2022-10-04,8834,22085
2022-10-05,8985,22462.5
2022-10-06,8003,20007.5
2022-10-07,7924,19810
2022-10-08,7609,19022.5
2022-10-09,8324,20810
2022-10-10,8457,21142.5
2022-10-11,8032,20080
2022-10-12,7836,19590
2022-10-13,7656,19140
2022-10-14,7711,19277.5
2022-10-15,7365,18412.5
2022-10-16,7448,18620
2022-10-17,7461,18652.5
2022-10-18,7367,18417.5
2022-10-19,7544,18860
2022-10-20,7256,18140
2022-10-21,7360,18400
2022-10-22,7537,18842.5
2022-10-23,7379,18447.5
2022-10-24,7529,18822.5
2022-10-25,7217,18042.5
2022-10-26,7007,17517.5
2022-10-27,7021,17552.5
2022-10-28,7046,17615
2022-10-29,6940,17350
2022-10-30,6959,17397.5
2022-10-31,7097,17742.5
2022-11-01,7080,17700
2022-11-02,7093,17732.5
2022-11-03,7629,19072.5
2022-11-04,7444,18610
2022-11-05,7414,18535
2022-11-06,6937,17342.5
2022-11-07,7474,18685
2022-11-08,6842,17105
2022-11-09,6524,16310
2022-11-10,7034,17585
2022-11-11,6428,16070
2022-11-12,8481,21202.5
2022-11-13,8405,21012.5
2022-11-14,7291,18227.5
2022-11-15,7278,18195
2022-11-16,6673,16682.5
2022-11-17,6722,16805
2022-11-18,6781,16952.5
2022-11-19,7014,17535
2022-11-20,6900,17250
2022-11-21,7416,18540
2022-11-22,6999,17497.5
2022-11-23,6941,17352.5
2022-11-24,6900,17250
2022-11-25,6610,16525
2022-11-26,6764,16910
2022-11-27,6655,16637.5
2022-11-28,9464,23660
2022-11-29,8318,20795
2022-11-30,7314,18285
2022-12-01,7532,18830
2022-12-02,6933,17332.5
2022-12-03,7096,17740
2022-12-04,6700,16750
2022-12-05,6720,16800
2022-12-06,6813,17032.5
2022-12-07,6624,16560
2022-12-08,6792,16980
2022-12-09,6628,16570
2022-12-10,6751,16877.5
2022-12-11,6655,16637.5
2022-12-12,6849,17122.5
2022-12-13,6875,17187.5
2022-12-14,6665,16662.5
2022-12-15,6897,17242.5
2022-12-16,6736,16840
2022-12-17,7032,17580
2022-12-18,6991,17477.5
2022-12-19,7003,17507.5
2022-12-20,6913,17282.5
2022-12-21,6982,17455
2022-12-22,6861,17152.5
2022-12-23,6713,16782.5
2022-12-24,6927,17317.5
2022-12-25,7014,17535
2022-12-26,6748,16870
2022-12-27,6679,16697.5
2022-12-28,6597,16492.5
2022-12-29,6796,16990
2022-12-30,6727,16817.5
2022-12-31,6976,17440
2024-01-01,6134,15335
2024-01-02,6155,15387.5
2024-01-03,6024,15060
2024-01-04,6011,15027.5
2024-01-05,6025,15062.5
2024-01-06,6060,15150
2024-01-07,6404,16010
2024-01-08,6840,17100
2024-01-09,7131,17827.5
2024-01-10,6929,17322.5
2024-01-11,6763,16907.5
2024-01-12,6942,17355
2024-01-13,6903,17257.5
2024-01-14,6682,16705
2024-01-15,7141,17852.5
2024-01-16,7152,17880
2024-01-17,6977,17442.5
2024-01-18,7090,17725
2024-01-19,6862,17155
2024-01-20,6601,16502.5
2024-01-21,7280,18200
2024-01-22,6627,16567.5
2024-01-23,6318,15795
2024-01-24,6318,15795
2024-01-25,6509,16272.5
2024-01-26,6227,15567.5
2024-01-27,6425,16062.5
2024-01-28,6700,16750
2024-01-29,6668,16670
2024-01-30,6874,17185
2024-01-31,6580,16450
2024-02-01,7058,17645
2024-02-02,6999,17497.5
2024-02-03,6762,16905
2024-02-04,6777,16942.5
2024-02-05,7270,18175
2024-02-06,6851,17127.5
2024-02-07,6708,16770
2024-02-08,7035,17587.5
2024-02-09,6624,16560
2024-02-10,6857,17142.5
2024-02-11,7172,17930
2024-02-12,6037,15092.5
2024-02-13,6498,16245
2024-02-14,6626,16565
2024-02-15,6314,15785
2024-02-16,5152,12880
2024-02-17,6638,16595
2024-02-18,6588,16470
2024-02-19,6375,15937.5
2024-02-20,6702,16755
2024-02-21,6391,15977.5
2024-02-22,6390,15975
2024-02-23,6408,16020
2024-02-24,6334,15835
2024-02-25,6449,16122.5
2024-02-26,6330,15825
2024-02-27,6542,16355
2024-02-28,6677,16692.5
2024-02-29,12498,31245
2024-03-01,7042,17605
2024-03-02,6516,16290
2024-03-03,6441,16102.5
2024-03-04,6304,15760
2024-03-05,6500,16250
2024-03-06,6533,16332.5
2024-03-07,6814,17035
2024-03-08,6497,16242.5
2024-03-09,6132,15330
2024-03-10,6252,15630
2024-03-11,6297,15742.5
2024-03-12,6238,15595
2024-03-13,6510,16275
2024-03-14,6532,16330
2024-03-15,6311,15777.5
2024-03-16,6400,16000
2024-03-17,6403,16007.5
2024-03-18,6514,16285
2024-03-19,6579,16447.5
2024-03-20,6726,16815
2024-03-21,6279,15697.5
2024-03-22,6100,15250
2024-03-23,6406,16015
2024-03-24,6384,15960
2024-03-25,6187,15467.5
2024-03-26,10288,25720
2024-03-27,7533,18832.5
2024-03-28,6793,16982.5
2024-03-29,6823,17057.5
2024-03-30,6836,17090
2024-03-31,6985,17462.5
2024-04-01,6880,17200
2024-04-02,11077,27692.5
2024-04-03,8280,20700
2024-04-04,8268,20670
2024-04-05,7644,19110
2024-04-06,7578,18945
2024-04-07,6921,17302.5
2024-04-08,6619,16547.5
2024-04-09,6751,16877.5
2024-04-10,7673,19182.5
2024-04-11,16060,40150
2024-04-12,13191,32977.5
2024-04-13,8139,20347.5
2024-04-14,6776,16940
2024-04-15,6544,16360
2024-04-16,6872,17180
2024-04-17,7044,17610
2024-04-18,6863,17157.5
2024-04-19,6851,17127.5
2024-04-20,6949,17372.5
2024-04-21,6814,17035
2024-04-22,6823,17057.5
2024-04-23,6950,17375
2024-04-24,7122,17805
2024-04-25,6866,17165
2024-04-26,7261,18152.5
2024-04-27,7023,17557.5
2024-04-28,7983,19957.5
2024-04-29,7983,19957.5
2024-04-30,7275,18187.5
2024-05-01,7389,18472.5
2024-05-02,7336,18340
2024-05-03,11078,27695
2024-05-04,8790,21975
2024-05-05,7852,19630
2024-05-06,8354,20885
2024-05-07,8298,20745
2024-05-08,8556,21390
2024-05-09,7572,18930
2024-05-10,8032,20080
2024-05-11,8324,20810
2024-05-12,8423,21057.5
2024-05-13,8207,20517.5
2024-05-14,11381,28452.5
2024-05-15,9861,24652.5
2024-05-16,9635,24087.5
2024-05-17,9005,22512.5
2024-05-18,8332,20830
2024-05-19,9273,23182.5
2024-05-20,8525,21312.5
2024-05-21,8540,21350
2024-05-22,8180,20450
2024-05-23,8082,20205
2024-05-24,8422,21055
2024-05-25,7838,19595
2024-05-26,10803,27007.5
2024-05-27,9870,24675
2024-05-28,8781,21952.5
2024-05-29,9624,24060
2024-05-30,10645,26612.5
2024-05-31,9150,22875
2024-06-01,8912,22280
2024-06-02,9605,24012.5
2024-06-03,8899,22247.5
2024-06-04,8691,21727.5
2024-06-05,8742,21855
2024-06-06,9225,23062.5
2024-06-07,8179,20447.5
2024-06-08,7979,19947.5
2024-06-09,8716,21790
2024-06-10,8942,22355
2024-06-11,9093,22732.5
2024-06-12,8600,21500
2024-06-13,8380,20950
2024-06-14,7516,18790
2024-06-15,7665,19162.5
2024-06-16,7300,18250
2024-06-17,8412,21030
2024-06-18,7809,19522.5
2024-06-19,7456,18640
2024-06-20,7456,18640
2024-06-21,7245,18112.5
2024-06-22,6942,17355
2024-06-23,7149,17872.5
2024-06-24,7560,18900
2024-06-25,7447,18617.5
2024-06-26,7933,19832.5
2024-06-27,7565,18912.5
2024-06-28,8200,20500
2024-06-29,7454,18635
2024-06-30,7095,17737.5
2024-07-01,6978,17445
2024-07-02,7448,18620
2024-07-03,9880,24700
2024-07-04,7904,19760
2024-07-05,7189,17972.5
2024-07-06,6810,17025
2024-07-07,7299,18247.5
2024-07-08,7195,17987.5
2024-07-09,7192,17980
2024-07-10,7468,18670
2024-07-11,7687,19217.5
2024-07-12,7813,19532.5
2024-07-13,7980,19950
2024-07-14,7997,19992.5
2024-07-15,8696,21740
2024-07-16,8778,21945
2024-07-17,7638,19095
2024-07-18,7496,18740
2024-07-19,7327,18317.5
2024-07-20,7678,19195
2024-07-21,8922,22305
2024-07-22,8840,22100
2024-07-23,9054,22635
2024-07-24,9054,22635
2024-07-25,8949,22372.5
2024-07-26,8565,21412.5
2024-07-27,8273,20682.5
2024-07-28,7892,19730
2024-07-29,7974,19935
2024-07-30,8403,21007.5
2024-07-31,8267,20667.5
2024-08-01,7783,19457.5
2024-08-02,7787,19467.5
2024-08-03,7950,19875
2024-08-04,8025,20062.5
2024-08-05,7859,19647.5
2024-08-06,7995,19987.5
2024-08-07,7715,19287.5
2024-08-08,7697,19242.5
2024-08-09,7459,18647.5
2024-08-10,7485,18712.5
2024-08-11,7550,18875
2024-08-12,7553,18882.5
2024-08-13,7547,18867.5
2024-08-14,7547,18867.5
2024-08-15,7628,19070
2024-08-16,10612,26530
2024-08-17,9358,23395
2024-08-18,8828,22070
2024-08-19,8200,20500
2024-08-20,9370,23425
2024-08-21,7906,19765
2024-08-22,9201,23002.5
2024-08-23,8507,21267.5
2024-08-24,8424,21060
2024-08-25,7844,19610
2024-08-26,7164,17910
2024-08-27,7274,18185
2024-08-28,7278,18195
2024-08-29,7146,17865
2024-08-30,9565,23912.5
2024-08-31,7571,18927.5
2024-09-01,7224,18060
2024-09-02,7039,17597.5
2024-09-03,7031,17577.5
2024-09-04,7054,17635
2024-09-05,9150,22875
2024-09-06,11332,28330
2024-09-07,8191,20477.5
2024-09-08,7474,18685
2024-09-09,7518,18795
2024-09-10,7276,18190
2024-09-11,7197,17992.5
2024-09-12,7343,18357.5
2024-09-13,7343,18357.5
2024-09-14,6964,17410
2024-09-15,7300,18250
2024-09-16,7146,17865
2024-09-17,7649,19122.5
2024-09-18,7516,18790
2024-09-19,9164,22910
2024-09-20,9684,24210
2024-09-21,9684,24210
2024-09-22,7485,18712.5
2024-09-23,7186,17965
2024-09-24,7189,17972.5
2024-09-25,7342,18355
2024-09-26,7342,18355
2024-09-27,7662,19155
2024-09-28,7423,18557.5
2024-09-29,6964,17410
2024-09-30,6945,17362.5
2024-10-01,6919,17297.5
2024-10-02,6653,16632.5
2024-10-03,8432,21080
2024-10-04,7253,18132.5
2024-10-05,7167,17917.5
2024-10-06,7124,17810
2024-10-07,6662,16655
2024-10-08,6750,16875
2024-10-09,7726,19315
2024-10-10,7136,17840
2024-10-11,7136,17840
2024-10-12,6837,17092.5
2024-10-13,6805,17012.5
2024-10-14,6505,16262.5
2024-10-15,6768,16920
2024-10-16,6713,16782.5
2024-10-17,7047,17617.5
2024-10-18,6640,16600
2024-10-19,6586,16465
2024-10-20,6480,16200
2024-10-21,6586,16465
2024-10-22,6724,16810
2024-10-23,6742,16855
2024-10-24,6212,15530
2024-10-25,6511,16277.5
2024-10-26,6127,15317.5
2024-10-27,6455,16137.5
2024-10-28,6229,15572.5
2024-10-29,6381,15952.5
2024-10-30,6710,16775
2024-10-31,6527,16317.5
2024-11-01,6228,15570
2024-11-02,6340,15850
2024-11-03,6274,15685
2024-11-04,6188,15470
2024-11-05,6331,15827.5
2024-11-06,6653,16632.5
2024-11-07,7762,19405
2024-11-08,6518,16295
2024-11-09,6518,16295
2024-11-10,6427,16067.5
2024-11-11,6609,16522.5
2024-11-12,6584,16460
2024-11-13,6558,16395
2024-11-14,6593,16482.5
2024-11-15,6189,15472.5
2024-11-16,6250,15625
2024-11-17,6250,15625
2024-11-18,6647,16617.5
2024-11-19,6552,16380
2024-11-20,7028,17570
2024-11-21,6581,16452.5
2024-11-22,6468,16170
2024-11-23,6397,15992.5
2024-11-24,6601,16502.5
2024-11-25,6547,16367.5
2024-11-26,6286,15715
2024-11-27,6411,16027.5
2024-11-28,6537,16342.5
2024-11-29,8766,21915
2024-11-30,6663,16657.5
2024-12-01,6729,16822.5
2024-12-02,6483,16207.5
2024-12-03,6666,16665
2024-12-04,6794,16985
2024-12-05,6825,17062.5
2024-12-06,6807,17017.5
2024-12-07,6338,15845
2024-12-08,6812,17030
2024-12-09,6639,16597.5
2024-12-10,6700,16750
2024-12-11,6963,17407.5
2024-12-12,6384,15960
2024-12-13,6724,16810
2024-12-14,5925,14812.5
2024-12-15,6563,16407.5
2024-12-16,6500,16250
2024-12-17,6449,16122.5
2024-12-18,6495,16237.5
2024-12-19,6621,16552.5
2024-12-20,6549,16372.5
2024-12-21,6313,15782.5
2024-12-22,6819,17047.5
2024-12-23,6797,16992.5
2024-12-24,6798,16995
2024-12-25,6824,17060
2024-12-26,6764,16910
2024-12-27,6528,16320
2024-12-28,6650,16625
2024-12-29,6998,17495
2024-12-30,7753,19382.5
2024-12-31,7921,19802.5
